 time                    	t_db                     	RH                       	Rad                      	load                     	
  +6.2180000000000000E+03	  +1.9750000000000000E+01	  +8.7500000000000000E+01	  +0.0000000000000000E+00	  +2.6273892788536159E+03	
  +6.2190000000000000E+03	  +1.8850000381469727E+01	  +9.0000000000000000E+01	  +0.0000000000000000E+00	  +2.3550444506675308E+03	
  +6.2200000000000000E+03	  +1.8000000000000000E+01	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +1.9961104229839154E+03	
  +6.2210000000000000E+03	  +1.7150001525878906E+01	  +9.6000000000000000E+01	  +0.0000000000000000E+00	  +1.5945952307331067E+03	
  +6.2220000000000000E+03	  +1.6250000000000000E+01	  +9.8500000000000000E+01	  +0.0000000000000000E+00	  +1.1506330723822377E+03	
  +6.2230000000000000E+03	  +1.6343303680419922E+01	  +9.6500000000000000E+01	  +3.6359997558593750E+02	  +4.4108620448247166E+03	
  +6.2240000000000000E+03	  +1.7941070556640625E+01	  +9.2500000000000000E+01	  +8.3519995117187500E+02	  +6.6050972272196886E+03	
  +6.2250000000000000E+03	  +1.9243749618530273E+01	  +8.9000000000000000E+01	  +1.5120000000000000E+03	  +1.3564526365049624E+04	
  +6.2260000000000000E+03	  +2.0260936737060547E+01	  +8.5500000000000000E+01	  +1.5011999511718750E+03	  +1.3808144948114947E+04	
  +6.2270000000000000E+03	  +2.1002603530883789E+01	  +8.2500000000000000E+01	  +1.9871999511718750E+03	  +1.5141248227760594E+04	
  +6.2280000000000000E+03	  +2.1783332824707031E+01	  +7.9500000000000000E+01	  +2.1743999023437500E+03	  +1.5545495069494586E+04	
  +6.2290000000000000E+03	  +2.2350000381469727E+01	  +7.7000000000000000E+01	  +2.2248000488281250E+03	  +1.6174500662747152E+04	
  +6.2300000000000000E+03	  +2.2850000381469727E+01	  +7.5000000000000000E+01	  +2.5848000488281250E+03	  +1.8265276116286641E+04	
  +6.2310000000000000E+03	  +2.3323213577270508E+01	  +7.3500000000000000E+01	  +2.3831999511718750E+03	  +2.0242590623353750E+04	
  +6.2320000000000000E+03	  +2.3514286041259766E+01	  +7.4000000000000000E+01	  +1.5515999755859375E+03	  +1.9945208019940903E+04	
  +6.2330000000000000E+03	  +2.2941072463989258E+01	  +7.6500000000000000E+01	  +8.1000000000000000E+02	  +1.8195279642939360E+04	
  +6.2340000000000000E+03	  +2.1871427536010742E+01	  +8.0500000000000000E+01	  +1.5119999694824219E+02	  +1.3800044960740557E+04	
  +6.2350000000000000E+03	  +2.1250000000000000E+01	  +8.4500000000000000E+01	  +0.0000000000000000E+00	  +6.7884130272280163E+03	
  +6.2360000000000000E+03	  +2.0950000762939453E+01	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +5.5041767409290105E+03	
  +6.2370000000000000E+03	  +2.0650001525878906E+01	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +4.7644093808596535E+03	
  +6.2380000000000000E+03	  +2.0350000381469727E+01	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  +4.2569325540128175E+03	
  +6.2390000000000000E+03	  +2.0050001144409180E+01	  +9.0500000000000000E+01	  +0.0000000000000000E+00	  +3.8683320575893690E+03	
